"","Sample","Strain","Species","Start.date","Extraction.date","Treatment","Days.on.plate","Ct","block"
"29","FBD32","JU1333","doughertyi","8/13/2020","8/18/2020 14:40","virus",4.986111111,Inf,1
"30","FBD33","JU1333","doughertyi","8/13/2020","8/18/2020 8:20","virus",4.722222222,Inf,1
"31","FBD34","JU1325","nigoni","8/13/2020",NA,"virus",-44056.625,NA,1
"32","FBD35","JU1325","nigoni","8/13/2020","8/20/2020 15:40","virus",7.027777778,Inf,1
"33","FBD36","JU1325","nigoni","8/13/2020","8/20/2020 15:40","virus",7.027777778,36,1
"34","FBD37","SB280","brenneri","8/13/2020","8/18/2020 8:20","virus",4.722222222,33.005,1
"35","FBD38","SB280","brenneri","8/13/2020","8/18/2020 8:20","virus",4.722222222,34.0942,1
"36","FBD39","SB280","brenneri","8/13/2020","8/18/2020 8:20","virus",4.722222222,Inf,1
"37","FBD40","VX80","latens","8/13/2020","8/18/2020 14:40","virus",4.986111111,19.3795,1
"38","FBD41","VX80","latens","8/13/2020","8/19/2020 15:50","virus",6.034722222,18.7407,1
"39","FBD42","VX80","latens","8/13/2020","8/19/2020 15:50","virus",6.034722222,19.7591,1
"40","FBD43","JU1373","tropicalis","8/13/2020","8/18/2020 8:20","virus",4.722222222,Inf,1
"41","FBD44","JU1373","tropicalis","8/13/2020","8/18/2020 8:20","virus",4.722222222,33.1073,1
"42","FBD45","JU1373","tropicalis","8/13/2020","8/18/2020 8:20","virus",4.722222222,32.4808,1
"43","FBD46","EG4788","portoensis","8/13/2020","8/18/2020 14:40","virus",4.986111111,34.7709,1
"44","FBD47","EG4788","portoensis","8/13/2020","8/18/2020 14:40","virus",4.986111111,Inf,1
"45","FBD48","EG4788","portoensis"," 8/13/2020 3:00:00 PM","8/18/2020 14:40","virus",4.986111111,32.6072,1
"46","FBD49","JU2774","tribulationis","8/13/2020","8/17/2020 14:20","virus",3.972222222,32.6686,1
"47","FBD50","JU2774","tribulationis","8/13/2020","8/18/2020 8:20","virus",4.722222222,Inf,1
"48","FBD51","JU2774","tribulationis","8/13/2020","8/17/2020 14:20","virus",3.972222222,Inf,1
"49","FBD52","NIC113","guadaloupensis","8/13/2020","8/21/2020 16:05","virus",8.045138889,Inf,1
"50","FBD53","NIC113","guadaloupensis","8/13/2020","8/21/2020 16:05","virus",8.045138889,Inf,1
"51","FBD54","NIC113","guadaloupensis","8/13/2020","8/22/2020 14:15","virus",8.96875,Inf,1
"52","FBD55","JU2156","zanzibari","8/13/2020","8/17/2020 14:20","virus",3.972222222,Inf,1
"53","FBD56","JU2156","zanzibari","8/13/2020","8/18/2020 8:20","virus",4.722222222,Inf,1
"54","FBD57","JU2156","zanzibari","8/13/2020","8/17/2020 9:30","virus",3.770833333,Inf,1
"55","FBE4","N2","elegans","8/21/2020 9:30","8/24/2020 19:40","control",3.423611111,Inf,2
"56","FBE5","N2","elegans","8/21/2020 9:30","8/24/2020 19:40","control",3.423611111,Inf,2
"57","FBE6","N2","elegans","8/21/2020 9:30","8/24/2020 19:40","control",3.423611111,Inf,2
"58","FBE7","N2","elegans","8/21/2020 9:30","8/24/2020 19:40","virus",3.423611111,17.1472,2
"59","FBE8","N2","elegans","8/21/2020 9:30","8/24/2020 19:40","virus",3.423611111,17.4299,2
"60","FBE9","N2","elegans","8/21/2020 9:30","8/24/2020 19:40","virus",3.423611111,16.1066,2
"61","FBE10","JU1580","elegans","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,10.855,2
"62","FBE11","JU1580","elegans","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,11.4769,2
"63","FBE12","JU1580","elegans","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,15.0516,2
"64","FBE13","JU1038","briggsae","8/21/2020 9:30","8/28/2020 9:20","virus",6.993055556,Inf,2
"65","FBE14","JU1038","briggsae","8/21/2020 9:30","8/26/2020 9:20","virus",4.993055556,Inf,2
"66","FBE15","JU1038","briggsae","8/21/2020 9:30","8/26/2020 14:55","virus",5.225694444,Inf,2
"67","FBE16","SB454","sulstoni","8/21/2020 9:30","8/25/2020 17:05","virus",4.315972222,14.5867,2
"68","FBE17","SB454","sulstoni","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,17.7678,2
"69","FBE18","SB454","sulstoni","8/21/2020 9:30","8/25/2020 17:05","virus",4.315972222,17.8884,2
"70","FBE19","JU1199","afra","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,Inf,2
"71","FBE20","JU1199","afra","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,Inf,2
"72","FBE21","JU1199","afra","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,Inf,2
"73","FBE25","QG122","kamaaina","8/21/2020 9:30","8/24/2020 19:40","virus",3.423611111,Inf,2
"74","FBE26","QG122","kamaaina","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,Inf,2
"75","FBE27","QG122","kamaaina","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,34.4212,2
"76","FBE28","JU1428","tropicalis","8/21/2020 9:30","8/28/2020 15:15","virus",7.239583333,Inf,2
"77","FBE29","JU1428","tropicalis","8/21/2020 9:30","8/26/2020 14:55","virus",5.225694444,24.1818,2
"78","FBE30","JU1428","tropicalis","8/21/2020 9:30","8/27/2020 16:10","virus",6.277777778,18.9759,2
"79","FBE31","JU2469","uteleia","8/21/2020 9:30","8/26/2020 14:55","virus",5.225694444,34.0299,2
"80","FBE32","JU2469","uteleia","8/21/2020 9:30","8/26/2020 9:20","virus",4.993055556,Inf,2
"81","FBE33","JU2469","uteleia","8/21/2020 9:30","8/27/2020 10:00","virus",6.020833333,Inf,2
"82","FBE34","JU1325","nigoni","8/21/2020 9:30",NA,"virus",-44064.39583,NA,2
"83","FBE35","JU1325","nigoni","8/21/2020 9:30","8/28/2020 15:15","virus",7.239583333,Inf,2
"84","FBE36","JU1325","nigoni","8/21/2020 9:30",NA,"virus",-44064.39583,NA,2
"85","FBE37","QG704","becei","8/21/2020 9:30","8/24/2020 19:40","virus",3.423611111,Inf,2
"86","FBE38","QG704","becei","8/21/2020 9:30","8/24/2020 19:40","virus",3.423611111,34.1237,2
"87","FBE39","QG704","becei","8/21/2020 9:30","8/24/2020 19:40","virus",3.423611111,Inf,2
"88","FBE40","JU2745","quiockensis","8/21/2020 9:30","8/26/2020 9:20","virus",4.993055556,Inf,2
"89","FBE41","JU2745","quiockensis","8/21/2020 9:30","8/26/2020 9:20","virus",4.993055556,Inf,2
"90","FBE42","JU2745","quiockensis","8/21/2020 9:30","8/26/2020 9:20","virus",4.993055556,Inf,2
"91","FBE43","MY28","remanei","8/21/2020 9:30","8/27/2020 16:10","virus",6.277777778,34.7179,2
"92","FBE44","MY28","remanei","8/21/2020 9:30","8/28/2020 15:15","virus",7.239583333,33.3154,2
"93","FBE45","MY28","remanei","8/21/2020 9:30","8/28/2020 9:20","virus",6.993055556,34.1217,2
"94","FBE46","JU1857","macrosperma","8/21/2020 9:30","8/25/2020 17:05","virus",4.315972222,23.2479,2
"95","FBE47","JU1857","macrosperma","8/21/2020 9:30","8/26/2020 9:20","virus",4.993055556,23.7063,2
"96","FBE48","JU1857","macrosperma","8/21/2020 9:30","8/25/2020 17:05","virus",4.315972222,19.6732,2
"97","FBE49","QG702","panamensis","8/21/2020 9:30","8/26/2020 9:20","virus",4.993055556,37.0165,2
"98","FBE50","QG702","panamensis","8/21/2020 9:30","8/25/2020 9:45","virus",4.010416667,Inf,2
"99","FBE51","QG702","panamensis","8/21/2020 9:30","8/25/2020 17:05","virus",4.315972222,Inf,2
"100","FBE52","NIC1070","sp.43","8/21/2020 9:30","8/26/2020 14:55","virus",5.225694444,Inf,2
"101","FBE53","NIC1070","sp.43","8/21/2020 9:30","8/27/2020 16:10","virus",6.277777778,Inf,2
"102","FBE54","NIC1070","sp.43","8/21/2020 9:30","8/26/2020 14:55","virus",5.225694444,33.5696,2
"103","FBI4","N2","elegans","9/21/2020 14:30","9/25/2020 9:50","control",3.805555556,Inf,3
"104","FBI5","N2","elegans","9/21/2020 14:30","9/25/2020 9:50","control",3.805555556,34.6503,3
"105","FBI6","N2","elegans","9/21/2020 14:30","9/25/2020 9:50","control",3.805555556,Inf,3
"106","FBI7","N2","elegans","9/21/2020 14:30","9/25/2020 9:50","virus",3.805555556,15.1753,3
"107","FBI8","N2","elegans","9/21/2020 14:30","9/25/2020 9:50","virus",3.805555556,15.5486,3
"108","FBI9","N2","elegans","9/21/2020 14:30","9/25/2020 9:50","virus",3.805555556,14.5749,3
"109","FBI10","JU1580","elegans","9/21/2020 14:30","9/26/2020 16:00","virus",5.062500058,12.9521,3
"110","FBI11","JU1580","elegans","9/21/2020 14:30","9/25/2020 9:50","virus",3.805555556,10.5822,3
"111","FBI12","JU1580","elegans","9/21/2020 14:30","9/25/2020 9:50","virus",3.805555556,16.2203,3
"112","FBI13","JU1038","briggsae","9/21/2020 14:30","9/26/2020 16:00","virus",5.062500058,32.5183,3
"113","FBI14","JU1038","briggsae","9/21/2020 14:30","9/27/2020 6:00","virus",5.645833391,34.9958,3
"114","FBI15","JU1038","briggsae","9/21/2020 14:30","9/28/2020 17:15","virus",7.114583391,35.429,3
"115","FBI16","QX2263","sp.27","9/21/2020 14:30","9/26/2020 16:00","virus",5.062500058,33.8725,3
"116","FBI17","QX2263","sp.27","9/21/2020 14:30","9/26/2020 16:00","virus",5.062500058,34.5215,3
"117","FBI18","QX2263","sp.27","9/21/2020 14:30","9/26/2020 16:00","virus",5.062500058,Inf,3
